light_id,lat,lon,facility_group,filter_note,center_lon,center_lat,geometry_wkt,source_dataset
보라매02-47,37.488269,126.914697,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.914697,37.488269,POINT (126.914697 37.488269),Seoul Streetlight CSV
보라매02-48,37.488079,126.91441,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.91441,37.488079,POINT (126.91441 37.488079),Seoul Streetlight CSV
보라매02-49,37.48793,126.914154,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.914154,37.48793,POINT (126.914154 37.48793),Seoul Streetlight CSV
보라매02-50,37.487738,126.913869,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.913869,37.487738,POINT (126.913869 37.487738),Seoul Streetlight CSV
보라매02-51,37.487593,126.913619,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.913619,37.487593,POINT (126.913619 37.487593),Seoul Streetlight CSV
보라매02-52,37.487431,126.913379,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.913379,37.487431,POINT (126.913379 37.487431),Seoul Streetlight CSV
보라매02-53,37.487302,126.913153,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.913153,37.487302,POINT (126.913153 37.487302),Seoul Streetlight CSV
보라매02-54,37.487158,126.912948,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.912948,37.487158,POINT (126.912948 37.487158),Seoul Streetlight CSV
보라매02-55,37.487011,126.912684,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.912684,37.487011,POINT (126.912684 37.487011),Seoul Streetlight CSV
보라매02-56,37.486875,126.912504,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.912504,37.486875,POINT (126.912504 37.486875),Seoul Streetlight CSV
보라매02-57,37.48678,126.912313,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.912313,37.48678,POINT (126.912313 37.48678),Seoul Streetlight CSV
