연번,스마트폴 유형,설치장소,위도,경도,보안등여부,보행신호등여부,공공와이파이설치여부,CCTV설치여부,LED비상벨설치여부,시각장애인용 음양신호기 여부,스피커탑재여부,로고젝터 탑재여부,lat,lon,facility_group,center_lon,center_lat,geometry_wkt,source_dataset
1,CCTV 통합 스마트폴,서울특별시 관악구 신림로 137,37.47115475,126.9340511,Y,N,Y,Y,Y,N,Y,N,37.47115475,126.9340511,smartpole,126.9340511,37.47115475,POINT (126.934051 37.471155),Gwanak Smartpole CSV
2,CCTV 통합 스마트폴,서울특별시 관악구 신림로 89,37.47029068,126.939524,Y,Y,Y,Y,Y,Y,Y,N,37.47029068,126.939524,smartpole,126.939524,37.47029068,POINT (126.939524 37.470291),Gwanak Smartpole CSV
3,CCTV 통합 스마트폴,서울특별시 관악구 신림로 94,37.47097701,126.9390949,Y,Y,N,Y,Y,Y,Y,N,37.47097701,126.9390949,smartpole,126.9390949,37.47097701,POINT (126.939095 37.470977),Gwanak Smartpole CSV
4,어린이보호구역 통합안전 스마트폴,서울특별시 관악구 신림동 549-8,37.48422772,126.9103009,N,N,N,Y,Y,N,Y,N,37.48422772,126.9103009,smartpole,126.9103009,37.48422772,POINT (126.910301 37.484228),Gwanak Smartpole CSV
5,어린이보호구역 통합안전 스마트폴,서울특별시 관악구 신림동 602-4,37.47606283,126.9180317,N,N,N,Y,Y,N,Y,N,37.47606283,126.9180317,smartpole,126.9180317,37.47606283,POINT (126.918032 37.476063),Gwanak Smartpole CSV
6,어린이보호구역 통합안전 스마트폴,서울특별시 관악구 신림동 산202-7,37.47745753,126.9134624,N,N,N,Y,Y,N,Y,N,37.47745753,126.9134624,smartpole,126.9134624,37.47745753,POINT (126.913462 37.477458),Gwanak Smartpole CSV
7,어린이보호구역 통합안전 스마트폴,서울특별시 관악구 봉천동 300-19,37.47585016,126.9592816,N,N,N,Y,Y,N,Y,N,37.47585016,126.9592816,smartpole,126.9592816,37.47585016,POINT (126.959282 37.47585),Gwanak Smartpole CSV
